INSTITUTION,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year,,,,,,,,
"University of Massachusetts, Amherst",3.1,3,,,,USA,24,29,2011,,,,,,,,
"University of California, Irvine",3,3,,,,USA,29,34,2011,,,,,,,,
University of Pennsylvania,3,3,,,,USA,29,34,2011,,,,,,,,
Northwestern University,2.9,3,,,,USA,31,38,2011,,,,,,,,
"University of California, Riverside",2.9,3,,,,USA,31,38,2011,,,,,,,,
"University of Maryland, College Park",2.9,3,,,,USA,31,38,2011,,,,,,,,
University of Miami,2.9,3,,,,USA,31,38,2011,,,,,,,,
"Washington University, St. Louis",2.9,3,,,,USA,31,38,2011,,,,,,,,
Georgetown University,2.8,3,,,,USA,36,45,2011,,,,,,,,
Johns Hopkins University,2.7,2.5,,,,USA,37,49,2011,,,,,,,,
Syracuse University,2.7,3,,,,USA,37,49,2011,,,,,,,,
University of Virginia,2.7,3,,,,USA,37,49,2011,,,,,,,,
Carnegie Mellon University,2.6,2.5,,,,USA,40,,2011,,,,,,,,
"University of California, Santa Barbara",2.6,2.5,,,,USA,40,,2011,,,,,,,,
"University of Illinois, Chicago",2.6,2.5,,,,USA,40,,2011,,,,,,,,
"University of Washington, Seattle",2.5,2.5,,,,USA,43,,2011,,,,,,,,
Boston University,2.4,2.5,,,,USA,44,,2011,,,,,,,,
Florida State University,2.4,2.5,,,,USA,44,,2011,,,,,,,,
Rice University,2.4,2.5,,,,USA,44,,2011,,,,,,,,
"University of California, Davis",2.4,2.5,,,,USA,44,,2011,,,,,,,,
"University of Minnesota, Minneapolis-St. Paul",2.4,2.5,,,,USA,44,,2011,,,,,,,,
University of Rochester,2.4,2.5,,,,USA,44,,2011,,,,,,,,
"University of Connecticut, Storrs",2.3,2.5,,,,USA,50,,2011,,,,,,,,
"University of Missouri, Columbia",2.3,2.5,,,,USA,,,2011,,,,,,,,
"University of Illinois, Urbana-Champaign",2.2,2,,,,USA,,,2011,,,,,,,,
"University of Nebraska, Lincoln",2.2,2,,,,USA,,,2011,,,,,,,,
University of Utah,2.2,2,,,,USA,,,2011,,,,,,,,
Purdue University,2.1,2,,,,USA,,,2011,,,,,,,,
University of Iowa,1.8,2,,,,USA,,,2011,,,,,,,,
Vanderbilt University,1.8,2,,,,USA,,,2011,,,,,,,,
New School University,1.6,1.5,,,,USA,,,2011,,,,,,,,
Pennsylvania State University,1.6,2,,,,USA,,,2011,,,,,,,,
Oxford University,4.7,5,,,,UK,1,2,2011,,,,,,,,
Cambridge University,3.5,3.5,,,,UK,2,22,2011,,,,,,,,
University of St. Andrews/Stirling Joint Program,3.3,3.5,,,,UK,3,26,2011,,,,,,,,
"King's College, London",3,3,,,,UK,4,34,2011,,,,,,,,
University College London,3,3,,,,UK,4,34,2011,,,,,,,,
"Birkbeck College, University of London",2.9,3,,,,UK,6,38,2011,,,,,,,,
University of Leeds,2.9,3,,,,UK,6,38,2011,,,,,,,,
University of Edinburgh,2.8,3,,,,UK,8,45,2011,,,,,,,,
University of Sheffield,2.8,3,,,,UK,8,45,2011,,,,,,,,
University of Reading,2.7,2.75,,,,UK,10,49,2011,,,,,,,,
London School of Economics,2.6,2.5,,,,UK,11,,2011,,,,,,,,
University of Warwick,2.6,2.5,,,,UK,11,,2011,,,,,,,,
University of Bristol,2.5,2.5,,,,UK,13,,2011,,,,,,,,
University of Nottingham,2.5,2.5,,,,UK,13,,2011,,,,,,,,
University of York,2.4,2,,,,UK,15,,2011,,,,,,,,
University of Aberdeen,2,2,,,,UK,,,2011,,,,,,,,
University of Toronto,3.7,4,,,,Canada,1,15,2011,,,,,,,,
McGill University,2.6,2.5,,,,Canada,2,,2011,,,,,,,,
University of British Columbia,2.6,2.5,,,,Canada,2,,2011,,,,,,,,
University of Western Ontario,2.6,2.5,,,,Canada,2,,2011,,,,,,,,
"Queen's University, Kingston",2.1,2,,,,Canada,,,2011,,,,,,,,
University of Alberta,2.1,2,,,,Canada,,,2011,,,,,,,,
Australian National University,3.7,4,,,,Australasia,1,15,2011,,,,,,,,
University of Sydney,2.8,3,,,,Australasia,2,45,2011,,,,,,,,
University of Auckland,2.4,2.5,,,,Australasia,3,,2011,,,,,,,,
Monash University,2.3,2.5,,,,Australasia,4,,2011,,,,,,,,
University of Melbourne,2.3,2.5,,,,Australasia,,,2011,,,,,,,,
"Victoria University, Wellington",2,2,,,,Australasia,,,2011,,,,,,,,
