INSTITUTION,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year,,,,,,,,
New York University,4.8,5,,,,USA,1,1,2011,,,,,,,,
"Rutgers University, New Brunswick",4.5,4.5,,,,USA,2,3,2011,,,,,,,,
Princeton University,4.4,4.5,,,,USA,3,4,2011,,,,,,,,
"University of Michigan, Ann Arbor",4.3,4.5,,,,USA,4,5,2011,,,,,,,,
Harvard University,4.1,4,,,,USA,5,6,2011,,,,,,,,
University of Pittsburgh,4.1,4,,,,USA,5,6,2011,,,,,,,,
Massachusetts Institute of Technology,4,4,,,,USA,7,8,2011,,,,,,,,
Yale University,4,4,,,,USA,7,8,2011,,,,,,,,
Stanford University,3.9,4,,,,USA,9,10,2011,,,,,,,,
"University of North Carolina, Chapel Hill",3.9,4,,,,USA,9,10,2011,,,,,,,,
Columbia University,3.8,4,,,,USA,11,12,2011,,,,,,,,
"University of California, Los Angeles",3.8,4,,,,USA,11,12,2011,,,,,,,,
University of Southern California,3.8,4,,,,USA,11,12,2011,,,,,,,,
City University of New York Graduate Center,3.7,4,,,,USA,14,15,2011,,,,,,,,
Cornell University,3.7,4,,,,USA,14,15,2011,,,,,,,,
University of Arizona,3.7,4,,,,USA,14,15,2011,,,,,,,,
"University of California, Berkeley",3.7,4,,,,USA,14,15,2011,,,,,,,,
University of Notre Dame,3.6,3.5,,,,USA,18,21,2011,,,,,,,,
Brown University,3.5,3.5,,,,USA,19,22,2011,,,,,,,,
University of Chicago,3.4,3.5,,,,USA,20,24,2011,,,,,,,,
"University of Texas, Austin",3.4,3.5,,,,USA,20,24,2011,,,,,,,,
"University of California, San Diego",3.2,3,,,,USA,22,27,2011,,,,,,,,
"University of Wisconsin, Madison",3.2,3,,,,USA,22,27,2011,,,,,,,,
Duke University,3.1,3,,,,USA,24,29,2011,,,,,,,,
"Indiana University, Bloomington",3.1,3,,,,USA,24,29,2011,,,,,,,,
Ohio State University,3.1,3,,,,USA,24,29,2011,,,,,,,,
"University of Colorado, Boulder",3.1,3,,,,USA,24,29,2011,,,,,,,,
