INSTITUTION,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year,,,,,,,,
University of Warwick,2.7,2.5,,,,UK,9,47,2009,,,,,,,,
University of Bristol,2.6,2.5,,,,UK,12,,2009,,,,,,,,
University of Edinburgh,2.6,2.75,,,,UK,12,,2009,,,,,,,,
University of Leeds,2.6,2.5,,,,UK,12,,2009,,,,,,,,
University of York,2.2,2,,,,UK,15,,2009,,,,,,,,
University of Birmingham,1.9,2,,,,UK,,,2009,,,,,,,,
University of Durham,2,2,,,,UK,,,2009,,,,,,,,
University of Exeter,1.8,2,,,,UK,,,2009,,,,,,,,
University of Glasgow,1.9,2,,,,UK,,,2009,,,,,,,,
University of Manchester,1.7,2,,,,UK,,,2009,,,,,,,,
University of Toronto,3.6,3.5,,,,Canada,1,17,2009,,,,,,,,
University of Western Ontario,2.7,3,,,,Canada,2,47,2009,,,,,,,,
McGill University,2.5,2.5,,,,Canada,3,,2009,,,,,,,,
University of British Columbia,2.4,2.5,,,,Canada,4,,2009,,,,,,,,
Queen's University,2,2,,,,Canada,,,2009,,,,,,,,
Simon Fraser University,1.7,1.75,,,,Canada,,,2009,,,,,,,,
University of Alberta,2.1,2,,,,Canada,,,2009,,,,,,,,
University of Calgary,1.9,2,,,,Canada,,,2009,,,,,,,,
"York University, Toronto",1.8,2,,,,Canada,,,2009,,,,,,,,
Australian National University,3.7,4,,,,Australasia,1,14,2009,,,,,,,,
University of Sydney,3,3,,,,Australasia,2,33,2009,,,,,,,,
Monash University,2.5,2.5,,,,Australasia,3,,2009,,,,,,,,
University of Auckland,2.3,2.5,,,,Australasia,4,,2009,,,,,,,,
University of Melbourne,1.8,2,,,,Australasia,,,2009,,,,,,,,
University of Otago,1.9,2,,,,Australasia,,,2009,,,,,,,,
