INSTITUTION,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year,,,,,,,,
New York University,4.9,5,5,4.8,4.9,USA,1,1,2017,,,,,,,,
"Rutgers University, New Brunswick",4.5,4.5,5,4.4,4.6,USA,2,2,2017,,,,,,,,
Princeton University,4.3,4.5,,4.2,4.4,USA,3,4,2017,,,,,,,,
"University of Michigan, Ann Arbor",4.2,4,4,4.1,4.3,USA,4,5,2017,,,,,,,,
University of Pittsburgh,4.2,4,4,4.1,4.3,USA,4,5,2017,,,,,,,,
Yale University,4.1,4,4,4,4.2,USA,6,7,2017,,,,,,,,
Massachusetts Institute of Technology,4,4,4,3.9,4.1,USA,7,8,2017,,,,,,,,
University of Southern California,4,4,4,3.9,4.1,USA,7,8,2017,,,,,,,,
Columbia University,3.9,4,4,3.8,4,USA,9,10,2017,,,,,,,,
Harvard University,3.9,4,4,3.8,4,USA,9,10,2017,,,,,,,,
Stanford University,3.9,4,4,3.8,4,USA,9,10,2017,,,,,,,,
"University of California, Berkeley",3.9,4,4,3.8,4,USA,9,10,2017,,,,,,,,
"University of California, Los Angeles",3.9,4,4,3.8,4,USA,9,10,2017,,,,,,,,
City University of New York Graduate Center,3.8,4,4,3.7,3.9,USA,14,16,2017,,,,,,,,
"University of North Carolina, Chapel Hill",3.8,4,4,3.7,3.9,USA,14,16,2017,,,,,,,,
University of Arizona,3.7,4,4,3.6,3.8,USA,16,18,2017,,,,,,,,
University of Notre Dame,3.6,3.5,3.5,3.5,3.7,USA,17,19,2017,,,,,,,,
Brown University,3.5,3.5,4,3.4,3.6,USA,18,21,2017,,,,,,,,
"University of Texas, Austin",3.5,3.5,3.5,3.4,3.6,USA,18,21,2017,,,,,,,,
"University of California, San Diego",3.4,3.5,4,3.3,3.5,USA,20,24,2017,,,,,,,,
"University of California, Irvine",3.3,3.5,3,3.2,3.5,USA,21,26,2017,,,,,,,,
University of Chicago,3.3,3.5,3.5,3.1,3.4,USA,21,26,2017,,,,,,,,
"University of Wisconsin, Madison",3.3,3.5,3,3.2,3.4,USA,21,26,2017,,,,,,,,
"Washington University, St. Louis",3.3,3.5,3,3.2,3.4,USA,21,26,2017,,,,,,,,
Cornell University,3.2,3,3,3.1,3.3,USA,25,31,2017,,,,,,,,
Duke University,3.2,3,3,3.1,3.3,USA,25,31,2017,,,,,,,,
University of Pennsylvania,3.1,3,3,3,3.2,USA,27,34,2017,,,,,,,,
