INSTITUTION,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year,,,,,,,,
"Indiana University, Bloomington",3,3,3,2.9,3.1,USA,28,36,2017,,,,,,,,
Ohio State University,3,3,3,2.9,3.1,USA,28,36,2017,,,,,,,,
"University of Colorado, Boulder",3,3,3,2.9,3,USA,28,36,2017,,,,,,,,
"University of Massachusetts, Amherst",3,3,3,2.9,3.1,USA,28,36,2017,,,,,,,,
Northwestern University,2.9,3,3,2.8,3.1,USA,32,41,2017,,,,,,,,
"University of California, Riverside",2.9,3,3,2.8,3,USA,32,41,2017,,,,,,,,
University of Virginia,2.9,3,3,2.8,3,USA,32,41,2017,,,,,,,,
Carnegie Mellon University,2.8,3,2.5,2.6,3,USA,35,46,2017,,,,,,,,
Georgetown University,2.8,3,3,2.6,3,USA,35,46,2017,,,,,,,,
Syracuse University,2.8,2.5,2.5,2.7,2.9,USA,35,46,2017,,,,,,,,
"University of Connecticut, Storrs",2.8,3,2.5,2.7,3,USA,35,46,2017,,,,,,,,
University of Miami,2.8,3,2.5,2.7,2.9,USA,35,46,2017,,,,,,,,
Johns Hopkins University,2.7,2.5,3,2.5,2.8,USA,40,,2017,,,,,,,,
"University of Maryland, College Park",2.7,2.5,2.5,2.6,2.8,USA,40,,2017,,,,,,,,
"University of California, Davis",2.6,2.5,2.5,2.5,2.7,USA,42,,2017,,,,,,,,
"University of Illinois, Chicago",2.5,2.5,2.5,2.4,2.6,USA,43,,2017,,,,,,,,
Boston University,2.4,2.5,2,2.3,2.6,USA,44,,2017,,,,,,,,
Florida State University,2.4,2.5,2,2.3,2.5,USA,44,,2017,,,,,,,,
Texas A&M University,2.4,2.5,2,2.3,2.5,USA,44,,2017,,,,,,,,
"University of California, Santa Barbara",2.4,2.5,2.5,2.3,2.6,USA,44,,2017,,,,,,,,
"University of Minnesota, Minneapolis-St. Paul",2.4,2.5,2,2.2,2.5,USA,44,,2017,,,,,,,,
Saint Louis University,2.3,2.5,2.5,2.1,2.4,USA,49,,2017,,,,,,,,
University of Rochester,2.3,2.5,2.5,2.2,2.4,USA,49,,2017,,,,,,,,
University of Utah,2.2,2,2,2.1,2.4,USA,,,2017,,,,,,,,
Arizona State University,2.1,2,2,2,2.2,USA,,,2017,,,,,,,,
Purdue University,2.1,2,2,2,2.2,USA,,,2017,,,,,,,,
University at Buffalo,2.1,2,2.5,2,2.2,USA,,,2017,,,,,,,,
"University of Missouri, Columbia",2.1,2,2,2,2.2,USA,,,2017,,,,,,,,
Rice University,2,2,2,1.9,2.1,USA,,,2017,,,,,,,,
"University of Nebraska, Lincoln",2,2,2,1.9,2.1,USA,,,2017,,,,,,,,
University of Kansas,1.8,2,2,1.7,1.9,USA,,,2017,,,,,,,,
Oxford University,4.5,4.5,5,4.5,4.6,UK,1,2,2017,,,,,,,,
Cambridge University,3.6,3.5,4,3.5,3.8,UK,2,19,2017,,,,,,,,
University of St. Andrews/Stirling Joint Program,3.4,3.5,3,3.2,3.5,UK,3,24,2017,,,,,,,,
"King's College, London",3.3,3.5,3,3.2,3.4,UK,4,26,2017,,,,,,,,
University of Edinburgh,3.1,3,3,3,3.2,UK,5,34,2017,,,,,,,,
London School of Economics,2.9,3,3,2.8,3.1,UK,6,41,2017,,,,,,,,
University of Leeds,2.9,3,3,2.7,3,UK,6,41,2017,,,,,,,,
University College London,2.8,3,3,2.7,2.9,UK,8,46,2017,,,,,,,,
University of Birmingham,2.7,3,3,2.6,2.9,UK,9,,2017,,,,,,,,
University of Bristol,2.7,2.5,3,2.5,2.8,UK,9,,2017,,,,,,,,
University of Sheffield,2.6,2.5,2.5,2.5,2.7,UK,11,,2017,,,,,,,,
University of Warwick,2.6,2.5,2.5,2.4,2.7,UK,11,,2017,,,,,,,,
University of Durham,2.4,2.5,2.5,2.2,2.5,UK,13,,2017,,,,,,,,
University of Manchester,2.4,2.5,2,2.3,2.6,UK,13,,2017,,,,,,,,
University of York,2.4,2.5,2.5,2.3,2.5,UK,13,,2017,,,,,,,,
"Birkbeck College, University of London",2.3,2.5,2,2.2,2.4,UK,,,2017,,,,,,,,
University of Glasgow,2.3,2.5,2,2.1,2.4,UK,,,2017,,,,,,,,
University of Reading,2.3,2.5,2,2,2.3,UK,,,2017,,,,,,,,
University of Nottingham,2.2,2.5,2.5,2.1,2.4,UK,,,2017,,,,,,,,
University of Toronto,3.9,4,4,3.8,4,Canada,1,10,2017,,,,,,,,
University of British Columbia,3,3,3,2.8,3.1,Canada,2,36,2017,,,,,,,,
University of Western Ontario,2.6,2.5,,2.5,2.7,Canada,3,,2017,,,,,,,,
McGill University,2.5,2.5,2.5,2.4,2.7,Canada,4,,2017,,,,,,,,
University of Calgary,2.3,2.5,2,2.2,2.4,Canada,5,,2017,,,,,,,,
"Queen's University, Kingston",2,2,2,1.8,2.1,Canada,,,2017,,,,,,,,
"York University, Toronto",2,2,2,1.9,2.1,Canada,,,2017,,,,,,,,
University of Alberta,1.9,2,2,1.8,2.1,Canada,,,2017,,,,,,,,
Australian National University,3.5,3.5,4,3.3,3.6,Australasia,1,21,2017,,,,,,,,
University of Sydney,3.2,3,3,3,3.3,Australasia,2,31,2017,,,,,,,,
Monash University,2.5,2.5,2.5,2.3,2.6,Australasia,3,,2017,,,,,,,,
University of Melbourne,2.3,2.5,2,2.2,2.5,Australasia,4,,2017,,,,,,,,
University of Auckland,2.1,2,2,1.9,2.2,Australasia,5,,2017,,,,,,,,
"Victoria University, Wellington",1.9,2,2,1.7,2,Australasia,,,2017,,,,,,,,
